id,name,zip_id:id
209,NARANJAL,l10n_co_base_location.CO050031_zip
210,SAN JOAQUÍN,l10n_co_base_location.CO050031_zip
211,U.P.B,l10n_co_base_location.CO050031_zip
212,BARRIO CRISTÓBAL,l10n_co_base_location.CO050032_zip
213,BELENCITO,l10n_co_base_location.CO050032_zip
214,CAMPO ALEGRE,l10n_co_base_location.CO050032_zip
215,EL DANUBIO,l10n_co_base_location.CO050032_zip
216,LA AMÉRICA,l10n_co_base_location.CO050032_zip
217,LA CASTELLANA,l10n_co_base_location.CO050032_zip
218,LA FLORESTA,l10n_co_base_location.CO050032_zip
219,LAS MERCEDES,l10n_co_base_location.CO050032_zip
220,NUEVA VILLA DEL ABURRÁ,l10n_co_base_location.CO050032_zip
221,SANTA MÓNICA,l10n_co_base_location.CO050032_zip
222,SANTA TERESITA,l10n_co_base_location.CO050032_zip
223,SIMÓN BOLÍVAR,l10n_co_base_location.CO050032_zip
224,ANTONIO NARIÑO,l10n_co_base_location.CO050033_zip
225,BETANIA,l10n_co_base_location.CO050033_zip
226,EDUARDO SANTOS,l10n_co_base_location.CO050033_zip
227,EL CORAZÓN,l10n_co_base_location.CO050033_zip
228,EL SALADO,l10n_co_base_location.CO050033_zip
229,EL SOCORRO,l10n_co_base_location.CO050033_zip
230,LAS INDEPENDENCIAS,l10n_co_base_location.CO050033_zip
231,NUEVOS CONQUISTADORES,l10n_co_base_location.CO050033_zip
232,SAN JAVIER NO.1,l10n_co_base_location.CO050033_zip
233,SAN JAVIER NO.2,l10n_co_base_location.CO050033_zip
234,SANTA LUCÍA,l10n_co_base_location.CO050033_zip
235,VEINTE DE JULIO,l10n_co_base_location.CO050033_zip
236,ALTAMIRA,l10n_co_base_location.CO050034_zip
237,BATALLÓN CUARTA BRIGADA,l10n_co_base_location.CO050034_zip
238,BOSQUES DE SAN PABLO,l10n_co_base_location.CO050034_zip
239,CARIBE,l10n_co_base_location.CO050034_zip
240,CARLOS E. RESTREPO,l10n_co_base_location.CO050034_zip
241,CERRO EL VOLADOR,l10n_co_base_location.CO050034_zip
242,CUARTA BRIGADA,l10n_co_base_location.CO050034_zip
243,LA IGUANÁ,l10n_co_base_location.CO050034_zip
244,ESTADIO,l10n_co_base_location.CO050034_zip
245,FACULTAD DE MINAS U. NACIONAL,l10n_co_base_location.CO050034_zip
246,FACULTAD VETERINARIA Y ZOOTECNIA U.DE.A.,l10n_co_base_location.CO050034_zip
247,LA PILARICA,l10n_co_base_location.CO050034_zip
248,LOS COLORES,l10n_co_base_location.CO050034_zip
249,AREA DE EXPANSIÓN SAN CRISTÓBAL,l10n_co_base_location.CO050035_zip
250,BLANQUIZAL,l10n_co_base_location.CO050035_zip
251,CALASANZ,l10n_co_base_location.CO050035_zip
252,CALASANZ PARTE ALTA,l10n_co_base_location.CO050035_zip
253,EL PESEBRE,l10n_co_base_location.CO050035_zip
254,FERRINI,l10n_co_base_location.CO050035_zip
255,JUAN XXIII LA QUIEBRA,l10n_co_base_location.CO050035_zip
256,LA PRADERA,l10n_co_base_location.CO050035_zip
257,LOS ALCÁZARES,l10n_co_base_location.CO050035_zip
258,METROPOLITANO,l10n_co_base_location.CO050035_zip
259,OLAYA HERRERA,l10n_co_base_location.CO050035_zip
260,SANTA ROSA DE LIMA,l10n_co_base_location.CO050035_zip
261,CUCARACHO,l10n_co_base_location.CO050036_zip
262,FUENTE CLARA,l10n_co_base_location.CO050036_zip
263,ROBLEDO,l10n_co_base_location.CO050036_zip
264,SANTA MARGARITA,l10n_co_base_location.CO050036_zip
265,SAN CRISTÓBAL,l10n_co_base_location.CO050037_zip
266,ALFONSO LOPEZ,l10n_co_base_location.CO050040_zip
267,CÓRDOBA,l10n_co_base_location.CO050040_zip
268,CEMENTERIO UNIVERSAL,l10n_co_base_location.CO050040_zip
269,FRANCISCO ANTONIO ZEA,l10n_co_base_location.CO050040_zip
270,KENNEDY,l10n_co_base_location.CO050040_zip
271,LOPEZ DE MESA,l10n_co_base_location.CO050040_zip
272,OLEODUCTO,l10n_co_base_location.CO050040_zip
273,TERMINAL DE TRANSPORTE,l10n_co_base_location.CO050040_zip
274,AURES NO.1,l10n_co_base_location.CO050041_zip
275,AURES NO.2,l10n_co_base_location.CO050041_zip
276,BELLO HORIZONTE,l10n_co_base_location.CO050041_zip
277,EL DIAMANTE,l10n_co_base_location.CO050041_zip
